988	3	2216
94	3	405
2343	1	3601
1686	1	3572
2626	3	2367
3138	3	1933
664	3	2679
248	1	3610
889	3	3002
1414	3	3334
481	3	2070
3203	3	1345
1020	3	1330
3565	1	3584
2856	3	1022
524	3	548
262	3	2584
3369	3	1194
3182	1	3573
35	3	2533
1342	3	960
1619	3	2609
2960	1	3568
3100	3	2137
1897	3	1256
2089	3	1270
1418	1	3616
3352	3	2507
1263	1	3660
1875	3	3149
1894	3	558
3537	3	929
1529	3	958
439	1	3572
1903	3	194
1246	3	165
261	1	3574
2642	3	3194
256	3	592
2918	1	3602
396	3	444
3417	3	2122
1436	3	861
3266	1	3678
1286	3	197
1521	3	2086
788	3	2367
915	3	699
1038	3	2070
131	1	3584
17	3	2855
1579	1	3614
1495	3	22
2539	1	3569
720	3	3549
2758	3	849
2844	3	1017
3467	3	687
138	3	1690
1671	3	2544
788	3	3306
1821	3	2855
2457	1	3571
943	3	3026
1987	3	984
244	1	3574
2467	1	3639
1844	3	3261
892	3	1761
2093	1	3622
2529	3	161
2897	1	3617
54	3	301
718	1	3569
2578	3	1698
1391	3	1136
825	3	3549
2762	1	3575
1640	1	3570
502	1	3617
530	3	580
3468	3	1451
571	3	643
3297	1	3604
1951	3	1280
468	3	1660
2414	1	3574
3076	3	114
3189	1	3609
1654	3	2544
2053	1	3569
127	1	3569
601	1	3591
1512	3	2600
2634	3	161
227	1	3574
2656	3	2815
3514	1	3584
1558	1	3602
72	1	3618
3029	3	3536
338	3	3168
219	1	3584
1546	3	2560
1561	1	3711
1823	1	3574
2291	3	361
1963	3	1055
2219	3	3464
701	1	3569
2502	3	668
2627	1	3569
33	3	3514
2853	1	3570
3369	3	1678
3409	3	1135
1334	1	3660
1623	1	3570
232	1	3569
2192	3	1901
2545	1	3571
2303	3	2005
2505	1	3569
846	3	2914
2810	3	1370
1056	3	2615
334	3	904
2397	1	3574
3091	3	362
295	3	344
525	1	3649
1911	3	668
2036	1	3569
2063	1	3616
2221	3	1098
2391	1	3676
981	3	677
402	3	251
1829	3	114
1652	3	722
470	3	361
2078	3	3375
298	1	3598
806	1	3569
2585	1	3603
2416	3	2749
951	3	2005
2673	3	1657
2749	3	3067
3500	3	3018
671	3	1910
1196	3	1488
501	3	578
2629	3	1805
2812	3	1812
639	3	2628
2610	1	3569
684	1	3569
108	3	325
2544	3	1698
2970	3	187
2502	1	3574
2455	1	3613
1606	1	3570
1832	3	1162
3199	3	3534
215	1	3569
1084	3	1909
3375	3	3229
3102	3	1194
577	3	100
1316	3	292
315	1	3574
3234	3	481
1998	3	2156
818	3	2815
429	1	3793
2380	1	3574
347	3	3312
790	1	3600
2755	3	1224
3546	3	2544
3302	1	3575
1193	3	3449
1963	3	3283
1621	3	1794
1971	3	3037
2633	3	2914
3002	3	229
204	3	1264
1340	3	5
500	1	3659
789	1	3569
2773	3	322
1370	3	161
3090	3	1620
2648	3	1667
667	1	3569
2240	3	735
2549	3	2632
539	3	1468
1486	3	849
2668	1	3581
3149	3	1134
3432	3	3237
2182	1	4012
198	1	3569
700	3	305
555	1	3589
1514	3	547
1787	3	683
1871	3	2658
2645	3	1333
894	1	3569
1003	1	3568
1845	3	773
887	1	3819
2156	1	3790
2504	3	305
3267	3	2079
1102	3	2649
1113	1	3641
772	1	3569
1134	3	2544
2862	3	1666
860	1	3593
2497	3	2820
2699	1	3573
2116	3	1935
2975	3	3191
914	3	2805
315	3	2465
2644	3	2786
210	3	2815
382	3	2915
3138	1	3794
3272	3	2855
2054	3	2261
81	3	2300
2651	1	3581
2120	3	2105
2604	1	3620
530	3	2942
2509	1	3637
269	1	3593
3344	3	338
2537	3	964
877	1	3569
2242	1	3584
3525	1	3590
3243	3	1211
1206	1	3690
2428	1	3700
2816	3	2116
3101	3	1267
551	1	3574
3232	3	5
2322	1	3618
1941	3	1116
1022	3	1224
84	3	3169
161	3	2920
943	3	261
1929	3	603
1009	3	105
958	3	1637
879	3	674
1856	3	3100
2085	3	563
1512	3	1929
569	1	3581
1360	3	2318
2347	1	3584
421	1	3584
17	3	440
311	3	551
1677	3	1172
1219	3	2435
1560	3	3261
3104	3	270
951	3	3428
1865	1	3572
309	1	3604
339	1	3586
1609	1	3971
2117	1	3589
3292	3	301
292	3	109
2744	3	1609
1486	2	3956
3459	3	2254
3337	3	1698
32	1	3648
3354	3	2987
575	3	1431
2960	3	229
1074	1	3568
2852	1	3571
104	1	3575
1538	3	2249
33	3	749
3240	3	1987
639	1	3574
73	3	398
975	3	1418
778	1	3729
1127	3	2749
458	3	2560
3447	3	1899
2730	1	3571
1477	3	384
2845	3	861
558	1	3637
2747	3	3243
1988	1	3609
3393	1	3626
509	1	3584
2731	3	1779
438	3	1512
950	3	1078
2206	3	283
1583	3	2333
2396	1	3586
1175	3	647
1656	3	571
1498	1	3843
3418	1	3592
977	1	3681
622	1	3574
3244	3	63
1569	1	3709
