0	9229 568 3844 5971
1	9151 10915 10893 10645 4610 10278
2	2309 4600 8920 7246
3	305 7415 4776 11481 4542
4	9367 9368 5992 10967
5	2169 4634 5293 10712 1176 7180 5878 5877 5657 6706 5490 3304
6	60 5132 2212 1185
7	10712 3017 719 2675
8	9657 7739 5317 9642
9	10326 9498 10890 10903 9301 11709 9505 9526 11341 10880 3326
10	4407 4259 6917 2460 2827
11	10164 11421 2657 10324
12	4098 4457 1998 2568
13	11729 2324 8938 256
14	6631 371 5341 3951
15	8302 9169 8300 8203
16	4567 2912 8012 2262
17	8717 1790 3692 5959
18	6401 2389 4388 1714 239
19	5718 2866 3295 5441
20	702 2917 253 1861
21	7117 2175 6235 1038 7088 6379 9085 4410 1039 7072 4940 6875 9060
22	10983 4213 1598 6376
23	3179 1804 3967 96 6067 2082 9688 2287
24	4407 218 8528 3425 731 215
25	11637 7181 6369 4948 7676 8100
26	7978 3352 8152 4765
27	1720 2638 6513 364 6673 1587 7766 1577 9248 4481 858
28	4536 7068 5331 1114 989 1583 1191 3617 4422
29	522 745 880 727 643 884 1112 1761 883 997 984 342 534 536 439 1054
30	7929 11 7207 24 3844 6145
31	404 5075 4448 1702
32	8033 2891 4828 8921
33	3389 7496 3284 7792 8277 10374 6208 7063 5427 8283 10347 8434 11512
34	10983 8752 10445 11823
35	10514 7669 10510 11026 11887 4250 4993 6564
36	1898 2029 267 6030 7188 3272 2459 2238
37	1422 9105 7248 8838 2762 6661
38	9298 11423 10523 10633
39	8035 8893 9024 10185 328 8892
40	6392 9605 6059 9234 6611 2105 8122 8753 6905
41	4945 9062 195 7591
42	5591 11069 2957 3608
43	173 5337 2329 1422
44	3734 1945 9642 3097 5810
45	3967 6803 133 612 1991
46	7082 10689 10379 9364 8281 10402 1694 7878 3346 5940
47	918 2123 2326 2120 1866 596 4254 2033 6113 9405 1487 1124
48	2520 10746 3023 3019
49	337 6702 10527 7248 7833 4848
50	2575 10168 9001 7863
51	2829 1800 7106 904
52	3553 6789 2731 1903
53	3476 3897 3469 9332 5510 1928 3410 8654 9165 7155 5506 2519 7690 9187
54	7679 2459 1116 1811 2986 10981 7229 6054 2993 1933 3115 2373 1264 1654 4976 4233
55	5157 6163 348 7107 6295 1487 5332 3741 2614
56	5297 9316 6059 9960 8613 5193 6949 5458 4178 5490
57	949 348 7954 374 417 4070 4837
58	7209 7912 8347 10877
59	840 2778 1930 1114 2619
60	6570 9282 1655 1615
61	564 799 3948 6765
62	6853 5091 7503 8405 6971 9302 9541 8461 11914 8466 10935 11389 1500
63	5556 4691 838 3547 7503 7101
64	5427 4694 5735 6605 2825 4254 5575 5736 1775
65	9689 3999 3540 10670
66	10100 10238 10101 11811 11260 9398 10392 11812 10237 11265 10240 10394
67	4290 1791 6830 7668
68	11011 11889 11755 11754
69	11304 10607 2567 6557
70	8891 1794 8892 8890 2222
71	10962 10234 11484 9801
72	11305 9126 11027 10683
73	8166 8042 2535 1628 7869 1425 7309
74	1959 9087 11274 11168 2915
75	3741 1167 8042 5568 1166
76	1356 4650 7240 1421 2829 8831 4706 2032
77	7709 9192 8402 8545 11046 10519 10891 8819 7499 10429 4038 8434
78	7517 3838 6914 8851 9120
79	11395 8200 9184 9704 3396 2024 2041 9178 5314 5316 8561 9637
80	11856 11294 999 11275
81	5663 234 3381 4340 1279 1143 4279 6380 3411 3215 6686 3673
82	7106 2540 2599 597
83	7214 10227 11423 10229
84	10896 9116 10807 5471 11097 10842 7512 10717
85	9122 3220 8453 11209 45 11211 1422 4184
86	321 5130 7718 5321
87	10590 486 6181 487
88	5662 8853 6964 11636
89	3390 1903 808 2570 2100 11628
90	392 661 10400 6585 2408
91	6079 1793 4280 5971
92	9287 1228 7112 10053 5245
93	9497 9598 7196 9496 9526
94	8499 2342 2020 6205 133
95	4936 8024 4935 7838
96	7727 908 9240 7099
97	7787 2137 7788 4559
98	3860 9506 9461 3572
99	4585 6506 6548 2284
100	2080 971 11060 1605 5350 5332
101	4446 5821 325 5610
102	961 3274 10177 4775
103	1643 1851 2640 617
104	8472 6089 4082 1537 4947 876 6748 1135
105	592 444 2606 8899 10052 2459 5219 9225
106	4042 1436 1918 592 2613
107	5434 649 2621 1232
108	8050 8053 4779 8064 8055 931 8052
109	9385 5812 6219 7378
110	8391 4175 7158 6037
111	9688 10006 443 9689
112	10994 9955 10904 10901
113	2979 2419 9279 304 2645 973
114	8409 4747 44 11653
115	2787 5859 3805 5823 5308
116	4326 3946 5549 2575 3643 5399 3546 3710
117	4528 3886 730 2416
118	7378 5065 2963 3691
119	404 1697 536 816 672 1034 5453 947 533
120	5641 4550 2863 273
121	840 594 2504 7345
122	3562 1928 175 8822 4692 7307 101 972
123	10876 10882 10885 10909 8789 3803 8109 445
124	11593 10670 10036 7652 10726 8505 10370 8924 9237
125	7109 11633 7906 6082
126	3695 779 7907 1828 2175 6948 285 773
127	5117 8100 8500 4407 10675 8501 10689 11575 11640 264 10726 11896 6457 4693 287 2094 10671 1909 8553 10336 4053 8920 4622 2872
128	3450 4147 2432 4026
129	1705 2819 4811 4809 2133
130	5781 3543 9274 9 7010 10356 11107 8500 7253 3495 4884 11670 10313 3581 7528 10591 10788 10021 5556 11023 11527 3494
